date,title,author,category,price,units_sold,rating
2024-01-15,The Great Gatsby,F. Scott Fitzgerald,Classics,10.99,5,4.2
2024-01-15,To Kill a Mockingbird,Harper Lee,Classics,12.99,3,4.5
2024-01-16,1984,George Orwell,Classics,8.99,10,4.3
2024-01-16,The Catcher in the Rye,J.D. Salinger,Classics,11.99,2,3.8
2024-01-17,The Hobbit,J.R.R. Tolkien,Fantasy,15.99,7,4.7
2024-01-17,Harry Potter,J.K. Rowling,Fantasy,20.99,12,4.8
2024-01-18,The Da Vinci Code,Dan Brown,Mystery,13.99,9,4.1
2024-01-18,Gone Girl,Gillian Flynn,Mystery,14.99,6,4.2
2024-01-19,The Shining,Stephen King,Horror,9.99,8,4.4
2024-01-19,It,Stephen King,Horror,12.99,4,4.3
2024-01-20,Clean Code,Robert Martin,Technology,35.99,3,4.6
2024-01-20,Design Patterns,Erich Gamma,Technology,45.99,2,4.4
